,CountryCode,categoryId,channelId,channelTitle,publishedAt,videoId
231,GB,24,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,17,1sl5KJ69qiA
232,GB,24,UCy6D16zE_mMEm1HVD20WFxA,Watch What Happens Live with Andy Cohen,13,qLVZiKDNxtw
233,GB,22,UCrUbqTCagwsaP2Fmr0p1TsA,MoreZoella,16,JqA6TZW9-0w
234,GB,1,UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists,19,Zh4c5IrllBg
235,GB,20,UCApHvBKENHNgOjts_1LbGdg,XCageGame,04,ECLwG0sHrAw
236,GB,22,UCtJiRqiTLjCuouJC2Ho-5Mw,Megan Ellaby,19,JhfACxB_KWs
237,GB,20,UCd534c_ehOvrLVL2v7Nl61w,Muselk,18,mebZJFd8_Vw
238,GB,24,UCnEn0EUV13IR-_TK7fiIp3g,PointlessBlogVlogs,17,Ic8yK9YLyak
239,GB,26,UCooQN8b9yPeNQgUFa9S5xew,Samantha Maria,19,KMmXvAncPqk
240,GB,24,UC8CbFnDTYkiVweaz8y9wd_Q,Star Wars Theory,22,LPBPma9YJnE
241,GB,24,UCZ1Sc5xjWpUnp_o_lUTkvgQ,The Grand Tour,12,aJ9XruZm_Hg
242,GB,26,UCDO89DCjRd7tt5-yLmRUXKg,Lily Pebbles,18,Kap77SLzVyI
243,GB,26,UC-RX7Rb0D8xmWGWIwL8kvmQ,Amelia Liana,15,YkG4Yvwucxo
244,GB,10,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,05,HKIIgYFhQlE
245,GB,10,UCCRBpyacv5-j1ongGV6dwyQ,Michelle Visage,23,FJgx-_eGRh0
246,GB,22,UCDdi0yUyGW1PKzYXaIACnuA,Jessica Kellgren-Fozard,19,zslYmBRhdOM
247,GB,25,UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,02,Hi91aDmYI2E
248,GB,22,UCey_c7U86mJGz1VJWH5CYPA,iJustine,16,LO0FwPXJbi0
249,GB,10,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,20,GZeza5xTeuM
250,GB,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,01,vn9mMeWcgoM
251,GB,1,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,19,aj8mN_7Apcw
252,GB,23,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,17,w4AImq08j9o
253,GB,20,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,02,sZcuF1T4Vxw
